ASV_ID,PID126,PID127,PID129,PID130,PID131,PID132,PID133,PID134,PID135,PID136,PID137,PID140,PID141,PID142,PID143,PID144,PID145,PID146,PID147,PID149,PID207,PID232,PID238,PID239,PID240,PID241,PID242,PID243,PID244,PID245,PID246,PID247,PID248,PID249,PID250,PID251,PID252,PID253,PID255,PID256,PID257,PID258,PID259,PID260,PID261,PID262,PID263,PID264,PID265,PID266,PID267,PID268,PID269,PID270,PID271,PID272,PID273,PID274,PID275,PID276,PID277,PID278,PID279,PID280,PID281,PID282,PID283,PID284,PID285,PID290,PID299,PID300,PID301,PID302,PID303,PID304,PID306,PID309,PID467,PID468,PID469,PID470,PID471,PID472,PID473,PID474,PID475,PID476,PID477,PID478,PID481,PID484,PID485,PID486,PID487,PID488,PID489,PID490,PID491,PID492,PID493,PID494,PID495,PID496,PID497,PID498,PID525,PID526,PID527,PID528,PID529,PID530,PID531,PID532,PID533,PID534,PID535,PID536,PID537,PID538,PID539,PID540,PID541,PID542,PID544,PID545,PID546,PID547,PID548,PID549,PID550,PID551,PID552,PID553,PID554,PID555,PID556,PID560,PID561,PID562,PID563,PID564,PID565,PID566,PID567,PID568,PID569,PID570,PID571,PID572,PID573,taxonomy
ASV2165,54651.34961,84827.55397,69813.47741,134134.4602,84066.0948,151321.5139,338861.4126,242805.569,195238.6074,176751.0567,232238.2695,135024.5674,431284.55,136350.1033,524288.485,243331.0052,254682.6904,349329.7978,227146.8645,210343.259,167045.4727,235413.345,223949.0962,439618.5985,506996.405,388200.7159,284907.927,517238.8004,307085.2898,344643.3395,367282.9039,148317.6073,262060.8878,245988.2805,98574.21858,51463.52039,181237.3412,36073.98251,343828.5973,431383.224,173325.7158,327695.685,266518.9083,328227.5446,648702.4487,667039.211,314575.4994,327498.0368,642115.6993,520496.7886,563644.3305,1030752.432,659416.9725,603710.5726,705278.0614,497413.3674,1074437.696,1184698.915,1209212.004,696637.9938,779616.8332,335351.8194,369921.3467,255629.6968,917090.3811,186525.6316,157101.9062,264076.0169,321980.6937,148096.1909,352594.8089,476949.4005,476058.7914,263576.283,204079.293,294603.052,161105.6253,189611.0181,102249.0605,79614.82383,173576.6557,178060.3503,75529.40196,358143.2721,169615.3389,225526.6129,136799.0304,108738.4485,22753.56264,163771.3048,130705.694,339223.7451,395258.2749,473111.7598,671167.7246,351402.3181,516333.4631,263893.8944,446456.8286,403481.7305,573254.0207,579339.2855,581914.6531,188311.753,491220.1021,337841.0192,735464.9666,182425.8161,599681.0202,431096.4271,624020.4561,536481.2217,788698.2167,543140.2282,658400.6016,366235.9459,932329.6318,688137.7076,656365.6542,267921.8597,174038.193,88947.06223,92032.97254,120316.794,43023.44476,232176.0296,14504.39315,157479.1431,134290.4488,291108.2213,261979.5374,468506.266,32801.19842,35238.49414,105857.7776,189918.9212,100672.264,156029.0802,344100.9697,240478.7152,132856.2191,124170.5733,224038.9932,163594.831,378657.231,258548.2458,142659.9705,78243.50572,247482.5269,260211.9575,331176.0252,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Pelagibacteraceae; g__; s__
ASV4402,15406.35494,21310.53897,16894.36464,37373.34198,22850.18013,40804.69674,78461.19956,67193.0262,78732.09058,53993.11819,102611.2751,12890.1735,53419.89084,10032.44907,15988.77037,8949.549893,15598.30628,34975.63299,30974.57243,38634.47614,64579.43533,63263.53456,59609.98003,103496.9247,190255.0435,114079.5095,204609.4951,208151.0737,203823.8626,87188.02653,119030.8821,32620.3355,121366.5934,119673.9625,97417.24418,24135.99212,121421.8551,33281.15806,201683.0083,500412.9325,104372.6089,149604.596,97296.75456,109882.8144,161723.1638,230917.969,55693.2133,51698.22973,72857.53978,33768.97443,31447.52659,51785.18398,37964.85887,23873.47898,26924.3484,15538.31746,27949.67992,55819.58629,50001.02239,24723.13942,67704.63398,61562.80932,68730.94844,27703.71099,345298.8672,16137.07754,12149.21408,75450.29055,59869.42604,16563.38977,23131.80565,140410.3375,64324.43803,40260.55311,71601.68376,73271.11989,115114.7887,78342.27692,40949.86945,21298.23313,115149.1328,178425.9773,76235.28422,307113.7078,172157.7529,181226.7425,79819.05563,99499.23395,20414.41134,91685.35523,65936.35457,168119.686,191374.2085,256449.0617,318936.0989,100069.7965,125071.4829,50709.02284,52886.96444,50473.57009,87697.3057,83874.49357,123281.5895,33763.24084,54503.93103,39787.06218,128741.9332,34070.06968,145377.217,82938.21325,233969.1893,136153.3114,144494.3298,199301.4557,102933.9358,101335.745,251929.0053,406825.9462,190112.9134,27565.71365,15783.56004,3213.705045,21988.17324,37523.34622,21511.72238,45044.13699,5318.277489,24728.1299,75817.11683,85845.05213,114467.3458,226295.1822,17862.03874,15753.67973,54306.2205,76983.59563,61071.32605,58574.02362,168636.1957,84671.86551,89231.78892,68677.05782,104783.095,88316.60801,198139.5954,103068.4271,41301.85262,32106.38199,60890.63229,64491.7479,68329.34289,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Pelagibacteraceae; g__; s__
ASV4672,31763.71944,50000.99222,45217.27007,72084.47329,44854.05729,79446.25292,177516.8847,126386.8826,115657.6533,99326.96272,130353.8748,36253.61296,136877.8034,43017.92556,152728.5527,80062.18958,74495.35929,98528.91733,68832.38317,61171.25389,52524.6074,76646.20534,72783.45627,1622.208851,2382.567764,1846.261227,909.0388526,2461.869588,1499.439892,1232.62997,3035.3959,858.4298816,852.6926934,737.8172779,231.3948793,6083.865782,28176.55634,4887.442792,45322.86055,66721.72433,22453.96047,39396.21367,35783.18526,43777.20499,86435.74643,84755.6376,40108.5232,1594.218538,5433.046153,5195.226835,4719.694039,7386.287998,5338.808279,3927.770321,3321.835193,2433.712373,6662.423702,7992.066046,10247.55936,175834.6645,209803.2819,99427.24688,94778.66457,65121.71024,230589.413,45326.20309,33724.54253,67711.79921,79947.58721,41311.04272,88561.77019,78562.92696,85765.91738,44894.86139,44062.57462,42899.67123,18176.01926,24221.76678,16329.70254,15720.12445,42647.82695,42047.10531,8941.17531,30898.63524,14891.28243,11771.99353,9889.086538,10186.82633,1488.550827,16609.6658,1750.522688,26262.48349,31940.06262,36110.44967,56952.8748,54627.08764,85531.6887,36350.09035,72895.32522,66045.20341,84833.72021,90446.10338,84476.63323,30931.48516,84631.73211,48628.63155,111434.0859,60377.33867,201359.1696,135253.0862,205646.6032,186571.8584,234562.462,167293.1918,203984.9338,125884.686,296930.0642,109705.8731,216380.6734,182271.2494,134090.4216,36283.76664,61884.24015,79646.32843,32064.64279,132482.7558,13416.56367,110192.0175,45424.19853,190389.0265,89485.44239,7813.260767,324.7643408,0,96806.74089,175069.2936,94946.82721,142395.4712,156166.6178,96350.74351,119768.89,103322.1807,188725.3535,154246.5549,324931.7442,226531.2451,73964.03199,25912.63113,122303.9309,129799.847,84952.9113,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Pelagibacteraceae; g__; s__
ASV2310,6974.070136,13516.02277,12091.06489,24881.43041,15515.55441,33627.00309,63299.61511,39503.59233,36713.34682,33007.11376,39736.12541,13856.93651,40278.25636,8512.38103,21716.09109,10158.94853,11026.38892,27298.05502,13384.07451,21463.59786,26405.81356,22507.21903,31287.00609,56777.30977,104482.604,73461.7625,103100.1565,153989.9427,150243.8771,138629.7839,102986.6466,36530.96052,111702.7428,50614.26527,21056.93402,8078.575875,34384.95011,10705.82707,53434.83395,45530.23327,21216.3406,36971.83129,44998.25303,28350.3074,72246.96394,61920.98767,31933.91217,15942.18538,71528.59324,35879.53533,39963.49627,61850.01598,39077.11059,31913.13385,37239.52084,20780.1595,42574.51244,49575.78469,58128.39705,27726.88533,27771.06244,25154.69628,21451.06034,17089.95158,28677.36354,5932.749095,4608.322582,11607.73701,16427.58641,8768.853407,13879.08339,22844.53904,57949.94417,33598.73497,54208.5622,56946.46623,53977.26932,60932.88205,33413.08366,20791.13234,89347.19747,47897.13736,38352.9362,90823.26115,84989.27044,74969.01144,71578.15018,31744.99369,10632.50591,38866.61798,64380.3344,61677.04456,68937.30182,28326.16112,43663.87068,36098.60177,48638.91002,25225.15167,34933.51639,42112.44677,49754.79793,74535.89017,40082.48571,18406.41194,42384.33833,30247.47417,56428.32433,18975.73501,64481.83013,57965.60838,65572.94384,58318.22722,87659.8934,73018.85204,77514.27483,27403.46906,82694.25364,63423.7079,57460.72511,14204.78101,12291.62198,3006.369236,9293.970133,15493.5107,7305.867978,21197.24093,1933.919087,17786.90046,40303.65252,41647.59955,63974.82144,127327.2125,10717.22325,14509.96817,26759.58691,61743.18837,33398.38143,36356.29052,66801.3099,49635.23151,21812.21507,34031.9349,45734.05805,42067.24225,57163.91797,36622.18579,17911.51772,9227.424745,32143.98185,24286.44937,26770.42186,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Pelagibacteraceae; g__; s__
ASV4305,5389.054196,9038.321977,6956.503087,16382.83484,17349.21084,30578.94141,64689.42702,62393.52433,49870.73123,51446.273,85045.00011,23524.56663,47617.0912,7448.333402,15511.49364,5563.233717,10757.45261,18340.88071,11089.66173,23073.3677,53385.66654,30111.00924,43143.13471,96791.79476,200976.5984,115245.5692,266575.6435,209997.4759,236111.8016,80285.2987,72849.5016,15356.35677,76458.1115,34234.7217,46510.37074,7380.427342,56114.3283,23040.80174,69509.93719,67560.9913,29231.4026,27274.30177,43562.13857,19080.63649,44448.53292,32606.23437,12879.42314,5465.89213,22982.95783,10228.10283,9798.495233,12824.544,10010.26552,7241.826529,8566.838129,5054.633391,8449.903232,12237.85113,19788.39048,8780.180354,7297.505459,28729.31102,11819.97203,8634.922904,10534.54171,949.2398553,2723.099707,1934.622835,7301.149516,3117.814545,7930.904793,11143.67758,22310.72851,19985.45442,57397.30115,50492.53339,99417.31748,68880.64928,41954.77422,22819.53549,96810.56718,56672.18542,39058.81846,73501.29897,109323.8051,49876.07786,57921.79258,15398.69097,5954.203308,15613.08585,27619.35796,30042.68945,46313.0908,26163.85874,35778.08802,24118.97729,22003.31644,10348.78017,9950.103739,19330.30344,20045.09845,32685.11193,12136.52954,10128.97225,15954.04011,12797.0083,39120.47695,22641.502,55395.75407,74370.96924,91124.84214,86431.79493,146661.7447,158790.9967,96029.83035,32827.07232,102694.7243,144179.4201,94892.28318,10970.0289,8101.296302,3006.369236,12467.52091,33649.96854,19482.31461,31464.65451,3142.618516,14316.28573,83084.98859,33998.04045,82876.47323,193595.239,15588.68836,11193.40402,25972.54024,59398.51033,21470.38806,24742.4755,45721.78544,49635.23151,23398.55798,43229.75514,52681.00358,55351.63454,45989.01671,35087.12411,13697.04296,15041.96637,19599.98893,16735.2004,15004.38967,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Pelagibacteraceae; g__; s__
ASV3988,4247.842719,7296.99389,4968.930777,14949.33679,7757.777205,18485.01924,26659.11934,21536.22635,15279.54319,14160.4593,15627.92737,12084.53765,27989.97476,8208.367422,43670.82055,27090.52941,23397.45942,23885.79814,20267.31282,11804.97882,10619.72936,22203.06742,16796.18222,40663.36852,47721.4308,26333.51539,33482.93107,61669.83318,40584.83973,31390.97656,20597.32932,12208.78054,17338.08477,23757.71635,9024.400293,5684.923764,15520.98442,2443.721396,37210.88715,23289.65849,22395.02619,29092.58856,22020.4217,28011.99824,48647.25427,54206.5789,30463.65839,31087.26149,50890.83519,32307.81688,57764.95096,110794.32,78376.67153,51920.21393,59793.03347,35569.64238,80436.57884,100400.3297,118907.025,67006.63954,60204.42003,23830.7649,32395.47888,27703.71099,104174.9125,16137.07754,15500.72141,14993.32697,22998.62098,14419.89227,34367.2541,55161.20403,49257.45255,26936.91683,15943.69476,43279.31434,19002.20196,21572.51104,10802.7263,7099.411042,8103.087121,6581.286049,3999.999481,31834.95752,12167.26735,5576.207463,13656.3576,10897.53515,1488.550827,13287.73264,778.0100834,27058.31633,26882.88604,39137.673,63670.39337,28032.32129,42352.24818,10219.42042,40881.94797,22398.60557,68905.02591,48768.26224,49504.26522,10782.45433,20541.68255,26990.05388,55717.04293,14447.43461,50119.96797,29529.64955,66804.36062,55762.44834,83565.88739,43761.29831,54605.19765,17412.62097,67693.90066,28950.16096,64356.01212,20252.36105,13548.71968,2488.029713,8613.923538,11862.21913,1826.466995,16229.13759,483.4797717,16485.41993,5781.261632,24648.57932,6873.327923,2604.420256,4871.465111,2487.423116,0,1953.898366,954.2394695,4039.587836,1484.473553,1858.003318,1189.757186,613.1880162,0,2214.065382,4298.038945,3070.12336,632.1712136,505.6123148,1306.665929,2040.878098,2158.904989,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Pelagibacteraceae; g__; s__
ASV4487,3994.240169,3399.735789,2981.358466,5324.421323,4654.666323,9930.781616,15919.66368,11568.03015,9761.930368,19254.1497,11993.52566,4028.179218,7338.834844,1824.081649,6204.597455,9917.0688,23397.45942,85306.42193,74950.81723,74586.00255,158721.901,59917.86687,61256.66456,51045.50517,85141.7598,42852.69479,92343.19677,66716.66583,54179.76142,10518.44241,16911.49144,1621.478665,14495.77579,10329.44189,32626.67798,4787.304222,41787.26576,14313.22532,55965.17427,42592.79886,26402.55719,28789.54076,39014.44279,21990.09524,50312.26447,40732.07827,22406.66765,8654.329206,49679.14864,16559.78554,22726.35282,21266.01599,16832.0761,15956.56693,8217.171266,4493.007459,8287.405093,13236.85939,18728.29814,9011.237731,14797.7194,25684.26884,17948.84641,26624.34562,17557.56952,3559.649457,2513.630499,1934.622835,5840.919613,3117.814545,1982.726198,2228.735516,10430.98995,6372.173874,60006.26938,25815.73136,38279.79814,15517.06934,12310.08345,5071.007887,29000.52233,56306.55842,61882.34491,49156.91969,89710.89658,29429.98383,32963.62179,7817.796953,9569.255316,11626.76606,16921.71931,15717.69845,27149.05323,21623.02376,35339.98898,27712.86464,36727.34022,15005.73125,14276.2358,27001.05877,25772.26943,41504.90404,17885.41195,9584.403852,14653.06689,9539.588008,13040.15898,6253.36722,16413.55676,14582.54299,12929.87625,15567.01683,18061.79122,14253.68002,11925.27305,6850.867266,20769.71952,9142.156094,8537.022016,4219.241885,12431.2995,2488.029713,16321.11828,34618.31296,13394.09129,18547.58582,725.2196576,3036.787883,20812.54187,17848.97123,42297.40261,79290.12779,7469.579838,2072.852596,10231.60676,28136.13647,22901.74727,15148.45439,21673.31388,25215.75932,20225.87216,36178.09296,45155.14592,54613.61275,35243.91935,51972.80259,18332.96519,11881.8894,23519.98672,23061.92251,17595.07566,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Pelagibacteraceae; g__; s__
ASV4226,15216.15302,26866.20478,22857.08157,35325.48762,23837.53359,39723.12646,88568.92254,63501.10169,57934.93458,53687.49677,67115.28499,48338.15062,181593.4948,56090.51072,188047.0306,85625.4233,86059.62084,129665.7613,80304.44703,78878.72212,66014.53389,92462.08898,91226.32302,2054.797878,3223.474033,2137.776157,1212.051803,3077.336985,1799.32787,2136.558614,1517.69795,1239.954273,852.6926934,1180.507645,231.3948793,2892.329634,8118.668776,1047.30917,15777.41615,14687.17202,6188.099342,15657.46954,10651.18223,15968.19224,30259.75043,26537.56614,13996.81602,1821.964043,2267.026452,2110.560902,1436.428621,3084.383999,1483.0023,1288.799636,874.167156,1310.460509,4224.951616,2997.024767,5123.779679,19408.81973,23919.60123,11253.41676,9412.199946,9894.182495,26336.35428,4271.579349,4189.384165,8705.802756,9126.436896,5845.902271,11235.44846,15043.96474,8692.491626,7530.750942,4348.28039,6074.289732,3855.519237,3406.185953,1256.130965,1014.201577,3625.065291,2193.762016,941.1763484,14044.8342,8535.247245,7744.732587,5179.99771,3079.738194,637.9503544,5979.479689,583.5075626,13330.19995,13574.52661,18163.33996,27892.30535,11580.30367,16047.53154,5303.749838,12762.08958,9128.198845,15033.82383,17293.71002,17246.64724,5336.770327,11982.64815,6514.840591,21575.53577,9487.867506,32534.0143,23149.787,36326.79518,30901.69012,34678.63915,26006.71443,35148.1732,10561.7537,50385.80106,13522.77256,38416.59907,27846.99644,20951.62837,5909.070568,7480.512546,13798.90796,3247.052435,21197.24093,1571.309258,13882.45889,6441.977247,35272.96696,11499.60633,3472.560341,0,0,23611.40022,50019.79817,28150.06435,45445.36316,59378.94213,32382.34355,33709.78693,35258.31093,52681.00358,46003.35849,84671.36721,67542.71392,22968.88743,8848.215509,45210.64114,47960.63531,31843.84858,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Pelagibacteraceae; g__; s__
ASV4464,2599.426142,3731.41733,3146.989492,4914.850452,4936.767312,10619.05361,15287.93099,13413.99241,10186.36212,22208.49013,14416.46013,6606.213918,8192.187733,2888.129278,6204.597455,6288.872898,19094.47837,47771.59628,33651.38733,47219.91528,95864.584,40148.01232,40508.43946,41312.25206,71617.18396,33329.87373,80828.70464,70655.65717,64176.02736,13476.75434,20163.70134,2003.003057,16769.62297,5164.720945,31701.09846,3391.007157,41070.91263,15011.43143,45769.39119,27695.8101,15558.64977,15556.4536,25730.38405,10487.58388,26857.3383,20263.18035,11467.97951,4441.037356,27907.87736,7468.138576,14466.88825,14610.24,10158.56575,8960.226044,6294.003523,3182.54695,3899.955338,6118.925567,9717.513184,2772.688533,6081.254549,16681.53543,5253.3209,12592.5959,11119.79403,1186.549819,628.4076248,967.3114173,5840.919613,974.3170452,1321.817466,1114.367758,4346.245813,3475.731204,32757.04561,19741.44163,34148.88467,11353.95318,8039.238174,2028.403155,25588.69617,36562.70027,47529.4056,38389.21347,80086.0433,20446.09403,34611.80288,4974.961697,12121.05673,11626.76606,13420.67394,9549.993997,12509.85786,7351.828077,21028.75377,15413.7835,15716.6546,7761.585128,6164.738186,11429.42544,14675.87565,17293.71002,10699.30893,5772.425047,9654.590799,5584.149078,5690.251193,4528.3004,11137.77066,12395.16154,12622.02205,11849.52027,18784.26287,13003.35721,10669.98115,5994.508858,18461.97291,9332.617679,10507.10402,3516.034904,4330.003196,1658.686475,10654.06332,14767.25238,7914.69031,8942.586019,1208.699429,1301.480521,15857.17476,8924.485617,33044.84579,65110.50639,5196.229452,2487.423116,9838.083424,20320.54301,14313.59204,9594.021111,22267.1033,23092.32696,13880.5005,29126.43077,35313.63976,47479.40208,19341.17525,32455.58981,14118.49044,6952.169329,11759.99336,14694.32231,10146.85345,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Pelagibacteraceae; g__; s__
ASV5012,9002.890539,13516.02277,9606.599502,24164.68139,15092.40293,19369.94038,43842.24839,33350.3848,45414.1978,33007.11376,66146.1112,4672.687893,16725.71662,3648.163299,5488.682364,2660.676995,6185.535248,12795.96329,8412.846832,4829.309518,16647.14333,16120.03525,18442.86675,0,770.8307471,485.8582176,681.7791394,738.5608764,999.6265944,82.17533132,2168.139929,95.38109795,852.6926934,885.3807335,231.3948793,4488.097708,18863.96569,5352.913534,29619.86617,82457.98007,15971.18973,21819.44142,10052.80121,17118.44337,23672.10141,33531.96342,7586.509521,455.4910108,898.9932484,487.0525158,256.5051108,162.336,148.30023,61.37141126,174.8334312,374.4172882,0,499.5041279,706.7282316,5545.377065,15000.42789,22506.83352,22107.72545,7195.769087,102419.1555,4508.889313,2723.099707,24182.78543,18982.98874,5456.175453,9252.722259,23401.72292,12748.98772,4634.308272,23480.71411,16324.65365,11015.76925,8704.697436,6783.107209,4056.80631,30279.95714,30712.66823,8941.17531,29494.15182,17070.49449,10842.62562,9182.723214,9476.117519,1063.250591,9633.606166,1361.517646,16513.53129,15703.86412,20758.10281,32273.29572,16452.01762,25312.08582,7244.14612,10166.41034,10892.47257,12349.21244,12624.40831,19642.01491,5118.942967,8079.72847,7445.532104,17307.84738,12938.00114,58033.64712,30076.49491,80965.65366,53206.66946,45756.53776,71268.40011,36089.64213,39677.93958,87694.3713,67423.40119,67639.48213,18564.66429,12990.00959,2488.029713,16321.11828,29292.41866,12988.20974,29808.62006,3505.228345,17353.07362,27750.05583,75220.66449,39653.81494,3472.560341,0,0,47222.80044,87534.64681,47234.85374,61098.76602,80161.57188,38752.64064,78523.97425,59785.83158,75258.57654,83642.46998,185245.4785,90568.63912,20018.7551,9859.440139,35018.64689,29592.73242,18782.4734,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Pelagibacteraceae; g__; s__
ASV4166,2979.829967,4809.382336,3892.329108,6348.3485,3244.161377,2851.412543,8970.604137,13290.92826,48385.22009,12326.73076,81652.89185,4511.560724,27136.62187,4712.210927,1431.830182,1451.278361,2689.363151,1279.596329,4588.825545,0,574.0394251,2737.364476,1646.684531,3893.301242,3153.398511,3401.007523,833.2856149,4185.1783,599.7759567,739.5779818,39026.51871,6295.152465,10516.54322,27594.36619,14577.8774,3590.478166,12894.35629,930.9414843,32596.73714,98194.2358,9724.156108,17273.72446,3111.581327,24831.89216,25264.71985,73955.46534,6763.167402,24710.38734,3752.319646,4058.770965,4873.597106,20779.00799,17796.0276,8162.397697,21679.34547,8611.597629,11699.86601,36963.30546,19435.02637,6931.721332,32230.64911,14563.24522,17729.95804,1978.836499,141631.0608,4508.889313,4189.384165,49816.53799,17157.70136,1948.63409,8261.35916,64633.32998,3766.746371,3186.086937,869.656078,759.2862164,826.1826937,378.4651059,0,507.1007887,0,21937.62016,2117.646784,73033.13783,3995.222115,57930.59975,4473.634386,33403.31425,850.6004725,11958.95938,4473.55798,29445.81482,10380.52035,29623.54255,37092.38513,5510.627262,8271.923472,7761.585128,5732.12498,2838.179473,12170.23834,2421.119402,50941.48582,6534.820808,8832.923497,8608.896495,73024.8903,10781.66762,70636.91392,18775.0241,108364.6771,47398.08109,30584.63314,67017.30256,14122.03388,61657.80539,48462.67888,150274.1908,47938.66209,7453.993997,977.7426572,0,226.6821984,484.1722093,0,331.2068896,0,0,991.0734226,9774.436629,2907.946429,2604.420256,974.2930223,6633.128308,5509.326717,12114.16987,12405.1131,11613.81503,41268.36478,3185.148546,21415.62934,5212.098138,8683.681908,3198.09444,28367.05704,5920.952194,1264.342427,1769.643102,2874.665044,7347.161153,5936.988718,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Pelagibacteraceae; g__; s__
ASV4037,2282.422954,2321.770783,3478.251544,5426.81404,5077.817807,2949.737114,15919.66368,21905.4188,80005.38585,16503.55688,70022.80636,5478.323737,23552.53973,5472.244948,3579.575455,3870.075629,5916.598933,3412.256877,5736.031931,3756.129625,1722.118275,3041.516085,329.3369062,1514.061594,1611.737017,194.343287,151.5064754,492.3739176,99.96265944,164.3506626,15393.79349,5341.341485,5400.387058,30988.32567,9024.400293,5585.188259,9312.590655,1396.412226,18605.44357,47838.21744,9842.024667,14748.32614,2393.524097,14208.98462,12958.12279,31063.35262,4469.571501,18219.64043,4221.359601,6818.735221,4360.586884,9009.647997,8749.713568,5523.427013,14686.00822,8798.806273,23399.73203,33841.40466,23675.39576,3927.975421,17838.34668,9002.733406,12257.74877,1079.365363,126999.7528,4746.199276,4398.853374,52718.47224,12411.95418,4092.13159,5617.724229,63518.96222,4925.745255,4634.308272,579.7707187,3416.787974,0,1135.395318,753.6785788,1014.201577,639.7174043,27787.65221,3058.823132,57583.82021,1634.409047,39962.82015,3531.816621,33166.41132,1275.900709,19599.40565,3112.040334,33822.89541,17300.86725,27245.00993,30520.89957,4073.072324,9926.308166,9184.542402,6921.811296,3145.009686,17897.40933,4150.490404,59564.80944,7841.78497,21774.1835,36064.29613,82034.45469,24582.20217,72102.41006,35362.66675,130838.0335,75743.99233,73932.93207,54514.07447,25105.838,31114.3555,28462.20823,53710.16705,30536.27106,6188.221432,1396.775225,829.3432375,226.6821984,242.0861046,0,331.2068896,0,1301.480521,165.1789038,5949.657078,2379.228897,2025.660199,3897.172089,6218.557789,3148.186696,7815.593465,10496.63416,8079.175672,21673.31388,2388.861409,21019.04361,4598.910122,6946.945527,984.0290586,30945.8804,6798.130297,3160.856068,5182.526227,11759.99336,7755.336773,13277.26568,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Pelagibacteraceae; g__; s__
ASV4873,4374.643994,6633.630809,5962.716932,9522.52275,10860.88809,21238.10722,29438.74315,32735.06405,13369.60029,39730.78509,17929.71512,19818.64175,16725.71662,8968.401443,7397.789274,10642.70798,18287.66943,21753.13759,29062.56178,30049.037,53385.66654,28286.09959,34580.37515,32984.9133,36088.89407,16324.83611,32876.90517,33604.51988,27889.58198,10929.31907,10623.88565,2956.814036,9663.850525,5902.538223,4859.292465,1396.297065,8238.060964,2327.353711,8335.238721,3357.067891,4479.005238,5252.828489,4547.695785,3586.07707,6877.216006,6685.820927,5351.723771,2049.709549,3713.232983,2597.613418,3334.566441,3165.551999,1927.902989,2638.970684,2447.668037,1310.460509,1787.47953,1998.016512,6183.872026,1848.459022,3648.752729,21447.68841,14665.52085,15650.79776,11119.79403,18035.55725,20318.5132,22248.1626,16062.52894,16563.38977,19166.35325,8357.758187,8692.491626,5792.88534,15074.03869,10250.36392,13769.71156,2649.255741,5024.523858,3549.705521,10448.7176,17184.46913,12470.58662,18258.28446,17978.49952,5885.996766,8476.35989,3790.447008,7442.754135,5979.479689,4084.552938,3183.331332,5323.34377,2810.993088,8323.881702,5111.306446,5624.907961,7244.14612,4542.438663,6826.972246,10380.49741,8300.980807,7505.485372,5772.425047,10133.89672,5816.821956,13040.15898,4959.567105,8499.877609,12030.59797,7080.646518,10687.8026,8428.835904,16504.26108,12866.74198,7707.225674,31154.57928,27616.92987,25611.06605,17158.25033,7682.263735,4250.384092,7480.512546,7504.669244,3449.993212,2980.862006,483.4797717,867.6536808,6607.15615,1699.902022,8062.942372,22571.64222,3247.643408,4145.705193,6296.373391,16021.9666,8111.03549,6564.330234,14844.73553,7432.013274,3965.857285,6745.068178,6368.033399,6150.181616,6017.254523,4385.890514,1896.513641,2780.867731,2874.665044,5918.546485,7987.948458,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Pelagibacteraceae; g__; s__
